ms,type,side,price,qty,uid
34215,NEW,1,5326,1402,97
34215,NEW,1,7861,223,98
34215,NEW,1,8888,729,99
34215,NEW,0,2725,474,100
34215,NEW,0,3177,903,101
34215,NEW,0,7915,189,102
34215,CANCEL,0,0,0,11
34215,NEW,0,40000,949,103
34216,NEW,0,125890,28,104
34217,NEW,0,2483,687,105
34218,NEW,1,1092,960,106
34218,NEW,1,1817,552,107
34218,NEW,1,3494,159,108
34218,NEW,1,3731,1633,109
34218,NEW,1,3869,917,110
34218,NEW,1,5324,1490,111
34218,NEW,1,7915,312,112
34218,NEW,1,8884,1070,113
34218,NEW,0,307,6,114
34218,NEW,0,2725,413,115
34218,CANCEL,0,0,0,80
34218,NEW,0,3175,696,116
34218,NEW,0,7861,308,117
34218,NEW,0,40009,358,118
34219,NEW,1,125800,61,119
34220,NEW,0,2484,409,120
34221,NEW,1,306,25,121
34221,CANCEL,0,0,0,106
34221,NEW,1,2723,1049,122
34221,NEW,1,3174,651,123
34221,NEW,1,3729,837,124
34221,NEW,1,8870,677,125
34221,NEW,0,1092,2185,126
34221,NEW,0,1819,299,127
34221,NEW,0,3497,206,128
34221,NEW,0,3872,281,129
34221,NEW,0,5324,627,130
34221,NEW,0,7865,278,131
34221,NEW,0,7925,226,132
34221,NEW,0,40035,109,133
34222,NEW,0,125829,34,134
34223,NEW,1,2481,644,135
34224,NEW,1,1819,545,136
34224,CANCEL,0,0,0,53
34224,NEW,1,3494,342,137
34224,NEW,1,3729,1625,138
34224,CANCEL,0,0,0,59
34224,NEW,1,7863,209,139
34224,NEW,1,8866,486,140
34224,NEW,0,307,434,141
34224,NEW,0,1092,759,142
34224,CANCEL,0,0,0,129
34224,NEW,0,2725,620,143
34224,NEW,0,3180,2247,144
34224,CANCEL,0,0,0,110
34224,NEW,0,3872,1013,145
34224,NEW,0,5325,361,146
34224,CANCEL,0,0,0,42
34224,NEW,0,7936,301,147
34224,CANCEL,0,0,0,141
34224,NEW,0,40041,97,148
34225,NEW,1,125799,31,149
34226,NEW,1,2480,765,150
34227,NEW,1,1819,924,151
34227,NEW,1,2723,338,152
34227,NEW,1,3174,438,153
34227,NEW,1,3490,219,154
34227,NEW,1,3726,333,155
34227,NEW,1,3872,941,156
34227,NEW,1,8864,222,157
34227,NEW,0,307,104,158
34227,NEW,0,1092,851,159
34227,NEW,0,5326,598,160
34227,NEW,0,7865,203,161
34227,NEW,0,7939,257,162
34227,NEW,0,40050,115,163
34227,CANCEL,0,0,0,8
34228,NEW,0,125847,62,164
34229,NEW,1,2478,1120,165
34230,NEW,1,306,49,166
34230,NEW,1,2722,2273,167
34230,CANCEL,0,0,0,24
34230,NEW,1,3486,296,168
34230,NEW,1,3726,899,169
34230,NEW,1,5323,1214,170
34230,NEW,1,7855,153,171
34230,CANCEL,0,0,0,77
34230,NEW,1,7939,604,172
34230,NEW,1,8860,543,173
34230,NEW,0,1093,259,174
34230,NEW,0,1821,364,175
34230,NEW,0,3176,577,176
34230,NEW,0,3876,803,177
34230,NEW,0,40062,204,178
34231,NEW,0,125849,43,179
34232,NEW,0,2480,1178,180
34233,NEW,1,1816,564,181
34233,CANCEL,0,0,0,133
34233,NEW,1,3872,686,182
34233,NEW,1,5322,1411,183
34233,NEW,1,7845,106,184
34233,NEW,1,7943,260,185
34233,CANCEL,0,0,0,37
34233,NEW,1,8858,643,186
34233,CANCEL,0,0,0,108
34233,NEW,1,40053,459,187
34233,NEW,0,307,308,188
34233,CANCEL,0,0,0,67
34233,NEW,0,1093,565,189
34233,NEW,0,2722,545,190
34233,NEW,0,3180,803,191
34233,NEW,0,3486,56,192
34233,NEW,0,3725,388,193
34234,NEW,0,125852,34,194
34235,NEW,1,2477,709,195
34236,NEW,1,1816,269,196
34236,NEW,1,2721,2144,197
34236,NEW,1,8852,309,198
34236,CANCEL,0,0,0,166
34236,NEW,0,307,86,199
34236,NEW,0,1094,269,200
34236,NEW,0,3181,701,201
34236,NEW,0,3486,350,202
34236,NEW,0,3726,342,203
34236,NEW,0,3877,652,204
34236,NEW,0,5322,607,205
34236,NEW,0,7855,92,206
34236,NEW,0,7948,926,207
34236,CANCEL,0,0,0,122
34236,NEW,0,40206,134,208
34236,CANCEL,0,0,0,125
34237,NEW,1,125849,68,209
34238,NEW,0,2478,364,210
34239,NEW,1,2720,1512,211
34239,NEW,1,3485,397,212
34239,NEW,1,3877,925,213
34239,NEW,1,7855,143,214
34239,NEW,1,8851,1088,215
34239,NEW,1,40199,164,216
34239,NEW,0,307,3159,217
34239,NEW,0,1094,104,218
34239,NEW,0,1817,464,219
34239,NEW,0,3185,1010,220
34239,NEW,0,3722,227,221
34239,NEW,0,5319,774,222
34239,NEW,0,7948,651,223
34239,CANCEL,0,0,0,180
34240,NEW,0,125888,55,224
34241,NEW,0,2479,496,225
34242,NEW,1,306,44,226
34242,NEW,1,2719,2482,227
34242,CANCEL,0,0,0,160
34242,NEW,1,3176,2150,228
34242,CANCEL,0,0,0,65
34242,NEW,1,3483,503,229
34242,CANCEL,0,0,0,27
34242,NEW,1,7855,143,230
34242,NEW,1,7948,204,231
34242,NEW,1,8849,842,232
34242,CANCEL,0,0,0,179
34242,NEW,1,40060,264,233
34242,NEW,0,1094,1006,234
34242,NEW,0,1819,301,235
34242,NEW,0,3722,467,236
34242,NEW,0,3878,1341,237
34242,NEW,0,5317,508,238
34243,NEW,1,125849,40,239
34244,NEW,1,2477,561,240
34245,NEW,1,306,1558,241
34245,NEW,1,2716,966,242
34245,NEW,1,3876,462,243
34245,NEW,1,5315,768,244
34245,NEW,1,7850,94,245
34245,NEW,1,7944,693,246
34245,NEW,1,8846,510,247
34245,NEW,1,40012,340,248
34245,CANCEL,0,0,0,149
34245,NEW,0,1094,504,249
34245,NEW,0,1820,391,250
34245,NEW,0,3185,1182,251
34245,CANCEL,0,0,0,172
34245,NEW,0,3484,213,252
34245,NEW,0,3725,56,253
34246,NEW,1,125849,75,254
34247,NEW,0,2479,277,255
34248,NEW,1,306,321,256
34248,NEW,1,2715,940,257
34248,NEW,1,3876,505,258
34248,NEW,1,7939,257,259
34248,NEW,1,8841,213,260
34248,NEW,0,1094,130,261
34248,NEW,0,1820,363,262
34248,NEW,0,3183,375,263
34248,NEW,0,3483,68,264
34248,CANCEL,0,0,0,247
34248,NEW,0,3726,295,265
34248,NEW,0,5316,409,266
34248,NEW,0,7855,446,267
34248,CANCEL,0,0,0,263
34248,NEW,0,40055,449,268
34248,CANCEL,0,0,0,44
34249,NEW,0,125957,26,269
34250,NEW,0,2480,332,270
34251,NEW,1,2714,590,271
34251,NEW,1,3482,216,272
34251,NEW,1,3725,141,273
34251,NEW,1,3876,716,274
34251,NEW,1,5315,1392,275
34251,NEW,1,7844,78,276
34251,NEW,0,306,770,277
34251,NEW,0,1094,175,278
34251,NEW,0,1819,667,279
34251,NEW,0,3185,374,280
34251,CANCEL,0,0,0,201
34251,NEW,0,7939,306,281
34251,NEW,0,8841,342,282
34251,NEW,0,40012,243,283
34251,CANCEL,0,0,0,237
34252,NEW,1,125898,34,284
34252,CANCEL,0,0,0,92
34253,NEW,0,2480,506,285
34254,NEW,1,1818,618,286
34254,NEW,1,2713,1170,287
34254,NEW,1,3183,279,288
34254,NEW,1,3482,242,289
34254,CANCEL,0,0,0,285
34254,NEW,1,3877,362,290
34254,NEW,1,8840,366,291
34254,NEW,0,306,767,292
34254,NEW,0,1094,187,293
34254,NEW,0,3727,379,294
34254,NEW,0,5315,374,295
34254,CANCEL,0,0,0,48
34254,NEW,0,7854,123,296
34254,CANCEL,0,0,0,124
34254,NEW,0,7948,807,297
34254,NEW,0,40014,397,298
34255,NEW,1,125850,29,299
34256,NEW,0,2481,477,300
34257,NEW,1,1094,220,301
34257,NEW,1,2712,1551,302
34257,NEW,1,8833,349,303
34257,CANCEL,0,0,0,253
34257,NEW,0,306,525,304
34257,NEW,0,1819,269,305
34257,NEW,0,3186,665,306
34257,NEW,0,3483,136,307
34257,NEW,0,3728,111,308
34257,NEW,0,3877,678,309
34257,NEW,0,5315,265,310
34257,NEW,0,7851,315,311
34257,NEW,0,7954,154,312
34257,NEW,0,40055,174,313
34258,NEW,1,125849,34,314
34259,NEW,0,2483,599,315
34260,NEW,1,305,319,316
34260,NEW,1,1093,150,317
34260,NEW,1,2711,674,318
34260,NEW,1,3186,830,319
34260,NEW,1,5314,800,320
34260,NEW,1,8837,253,321
34260,NEW,0,1820,281,322
34260,CANCEL,0,0,0,288
34260,NEW,0,3486,65,323
34260,NEW,0,3728,127,324
34260,NEW,0,3877,538,325
34260,NEW,0,7850,107,326
34260,NEW,0,7978,213,327
34260,NEW,0,40080,162,328
34261,NEW,1,125849,23,329
34261,CANCEL,0,0,0,132
34262,NEW,0,2483,527,330
34263,NEW,1,3875,1475,331
34263,NEW,1,7966,1442,332
34263,CANCEL,0,0,0,185
34263,NEW,1,8833,418,333
34263,NEW,0,306,6809,334
34263,NEW,0,1094,371,335
34263,NEW,0,1820,302,336
34263,NEW,0,2715,551,337
34263,NEW,0,3188,926,338
34263,CANCEL,0,0,0,174
34263,NEW,0,3488,84,339
34263,NEW,0,3729,228,340
34263,NEW,0,5310,315,341
34263,NEW,0,7854,53,342
34263,CANCEL,0,0,0,272
34263,NEW,0,40167,188,343
34264,NEW,0,125950,33,344
34265,NEW,0,2484,517,345
34266,NEW,1,3874,1065,346
34266,NEW,1,5306,179,347
34266,CANCEL,0,0,0,131
34266,NEW,1,7854,213,348
34266,NEW,1,7959,720,349
34266,NEW,1,8832,390,350
34266,CANCEL,0,0,0,329
34266,NEW,1,40111,95,351
34266,NEW,0,307,160,352
34266,NEW,0,1095,219,353
34266,NEW,0,1819,1706,354
34266,NEW,0,2715,978,355
34266,NEW,0,3190,288,356
34266,NEW,0,3488,104,357
34266,NEW,0,3731,403,358
34267,NEW,0,125951,18,359
34268,NEW,0,2487,1285,360
34268,CANCEL,0,0,0,199
34269,NEW,1,306,87,361
34269,NEW,1,2715,253,362
34269,NEW,1,3190,139,363
34269,NEW,1,3488,64,364
34269,NEW,1,8830,421,365
34269,NEW,0,1095,191,366
34269,NEW,0,1819,818,367
34269,NEW,0,3732,492,368
34269,NEW,0,3875,240,369
34269,NEW,0,5308,477,370
34269,NEW,0,7854,156,371
34269,NEW,0,7964,932,372
34269,NEW,0,40199,126,373
34270,NEW,1,125950,40,374
34271,NEW,0,2488,580,375
34272,NEW,1,306,133,376
34272,NEW,1,1094,208,377
34272,NEW,1,3488,97,378
34272,NEW,1,5306,692,379
34272,NEW,1,7956,173,380
34272,NEW,1,8830,299,381
34272,NEW,1,40199,202,382
34272,NEW,0,1820,223,383
34272,NEW,0,2717,330,384
34272,NEW,0,3191,377,385
34272,NEW,0,3733,179,386
34272,NEW,0,3876,424,387
34272,NEW,0,7859,181,388
34273,NEW,0,125900,15,389
34273,CANCEL,0,0,0,159
34274,NEW,0,2488,516,390
34275,NEW,1,1819,448,391
34275,NEW,1,2717,543,392
34275,NEW,1,3488,239,393
34275,CANCEL,0,0,0,167
34275,NEW,1,3874,788,394
34275,NEW,1,5305,724,395
34275,NEW,1,7955,274,396
34275,NEW,1,8829,623,397
34275,NEW,0,307,225,398
34275,NEW,0,1095,218,399
34275,NEW,0,3191,1349,400
34275,NEW,0,3732,250,401
34275,NEW,0,7862,100,402
34275,NEW,0,40250,248,403
34275,CANCEL,0,0,0,5
34276,NEW,0,125949,11,404
34277,NEW,1,2488,672,405
34278,NEW,1,1819,472,406
34278,NEW,1,7855,78,407
34278,NEW,1,7942,201,408
34278,NEW,0,307,38,409
34278,NEW,0,1095,205,410
34278,NEW,0,2717,414,411
34278,NEW,0,3192,566,412
34278,NEW,0,3486,410,413
34278,NEW,0,3733,102,414
34278,CANCEL,0,0,0,96
34278,NEW,0,3877,446,415
34278,NEW,0,5306,239,416
34278,NEW,0,8829,241,417
34278,NEW,0,40249,120,418
34279,NEW,1,125888,13,419
34280,NEW,1,2487,436,420
34281,NEW,1,306,64,421
34281,NEW,1,2716,471,422
34281,NEW,1,3485,153,423
34281,NEW,1,3876,166,424
34281,NEW,1,7941,170,425
34281,NEW,1,40192,315,426
34281,NEW,0,1095,246,427
34281,NEW,0,1820,592,428
34281,NEW,0,3192,2159,429
34281,NEW,0,3733,1818,430
34281,NEW,0,5306,369,431
34281,NEW,0,7861,170,432
34281,NEW,0,8826,246,433
34282,NEW,1,125851,45,434
34283,NEW,1,2487,265,435
34284,NEW,1,1094,457,436
34284,CANCEL,0,0,0,196
34284,NEW,1,3875,51,437
34284,NEW,1,5303,106,438
34284,NEW,1,7855,82,439
34284,NEW,1,7928,244,440
34284,CANCEL,0,0,0,107
34284,NEW,1,40130,180,441
34284,NEW,0,307,105,442
34284,NEW,0,1820,420,443
34284,NEW,0,2716,305,444
34284,CANCEL,0,0,0,266
34284,NEW,0,3194,153,445
34284,NEW,0,3486,62,446
34284,NEW,0,3733,191,447
34284,CANCEL,0,0,0,275
34284,NEW,0,8824,560,448
34285,NEW,0,125888,18,449
34286,NEW,1,2486,191,450
34287,NEW,1,3486,27,451
34287,CANCEL,0,0,0,358
34287,NEW,1,5301,343,452
34287,NEW,1,8820,540,453
34287,CANCEL,0,0,0,234
34287,NEW,1,40100,190,454
34287,NEW,0,307,12,455
34287,NEW,0,1095,67,456
34287,NEW,0,1820,422,457
34287,NEW,0,2716,902,458
34287,NEW,0,3197,157,459
34287,NEW,0,3733,498,460
34287,NEW,0,3876,266,461
34287,NEW,0,7855,182,462
34287,NEW,0,7937,230,463
34288,NEW,0,125872,77,464
34289,NEW,1,2485,358,465
34290,NEW,1,1819,458,466
34290,NEW,1,2714,381,467
34290,NEW,1,3193,1079,468
34290,NEW,1,3486,224,469
34290,NEW,1,3876,305,470
34290,NEW,1,5300,649,471
34290,NEW,1,40056,531,472
34290,NEW,0,307,5012,473
34290,NEW,0,1095,132,474
34290,NEW,0,3734,239,475
34290,NEW,0,7855,74,476
34290,CANCEL,0,0,0,281
34290,NEW,0,7938,291,477
34290,CANCEL,0,0,0,301
34290,NEW,0,8819,376,478
34291,NEW,0,125948,12,479
34292,NEW,0,2487,1245,480
34293,NEW,1,306,136,481
34293,NEW,1,5300,1303,482
34293,NEW,1,39956,420,483
34293,NEW,0,1095,155,484
34293,NEW,0,1820,466,485
34293,NEW,0,2715,597,486
34293,NEW,0,3193,834,487
34293,NEW,0,3486,305,488
34293,NEW,0,3733,173,489
34293,NEW,0,3877,351,490
34293,CANCEL,0,0,0,233
34293,NEW,0,7850,181,491
34293,NEW,0,7944,356,492
34293,CANCEL,0,0,0,402
34293,NEW,0,8817,379,493
34293,CANCEL,0,0,0,26
34294,NEW,0,125851,43,494
34295,NEW,1,2483,115,495
34296,NEW,1,306,155,496
34296,CANCEL,0,0,0,112
34296,NEW,1,3483,143,497
34296,NEW,1,7847,135,498
34296,NEW,0,1095,183,499
34296,CANCEL,0,0,0,155
34296,NEW,0,1821,1461,500
34296,NEW,0,2717,727,501
34296,NEW,0,3197,769,502
34296,NEW,0,3735,69,503
34296,NEW,0,3878,296,504
34296,NEW,0,5302,212,505
34296,NEW,0,7955,172,506
34296,NEW,0,8818,371,507
34296,NEW,0,39997,128,508
34297,NEW,1,125831,32,509
34298,NEW,0,2484,1041,510
34299,NEW,1,306,531,511
34299,NEW,1,3483,262,512
34299,NEW,1,7843,119,513
34299,NEW,1,7944,213,514
34299,NEW,1,8817,522,515
34299,NEW,0,1095,354,516
34299,NEW,0,1821,1058,517
34299,NEW,0,2717,866,518
34299,NEW,0,3197,196,519
34299,NEW,0,3734,42,520
34299,NEW,0,3877,665,521
34299,NEW,0,5301,829,522
34299,NEW,0,39963,271,523
34300,NEW,0,125848,39,524
34301,NEW,1,2483,272,525
34301,CANCEL,0,0,0,343
34302,NEW,1,306,369,526
34302,NEW,1,1819,694,527
34302,NEW,1,3479,1260,528
34302,NEW,1,5299,598,529
34302,NEW,1,8817,757,530
34302,NEW,1,39960,244,531
34302,NEW,0,1095,199,532
34302,CANCEL,0,0,0,245
34302,NEW,0,2718,1547,533
34302,NEW,0,3199,146,534
34302,NEW,0,3734,83,535
34302,NEW,0,3877,837,536
34302,NEW,0,7845,177,537
34302,NEW,0,7952,114,538
34303,NEW,1,125801,33,539
34304,NEW,1,2483,739,540
34305,NEW,1,1094,39,541
34305,NEW,1,3199,290,542
34305,NEW,1,3734,417,543
34305,NEW,1,3877,574,544
34305,NEW,1,39921,250,545
34305,NEW,0,306,159,546
34305,NEW,0,1819,552,547
34305,NEW,0,2716,751,548
34305,CANCEL,0,0,0,526
34305,NEW,0,3479,449,549
34305,NEW,0,5299,390,550
34305,NEW,0,7837,86,551
34305,NEW,0,7950,48,552
34305,NEW,0,8817,492,553
34306,NEW,1,125701,56,554
34307,NEW,1,2482,69,555
34308,NEW,1,3197,1300,556
34308,NEW,1,3729,222,557
34308,NEW,1,7827,1137,558
34308,NEW,1,7945,231,559
34308,NEW,1,8814,562,560
34308,NEW,1,39939,233,561
34308,NEW,0,306,171,562
34308,NEW,0,1095,379,563
34308,NEW,0,1819,547,564
34308,NEW,0,2717,393,565
34308,NEW,0,3479,212,566
34308,NEW,0,3878,98,567
34308,NEW,0,5300,573,568
34309,NEW,1,125573,42,569
34310,NEW,1,2480,493,570
34311,NEW,1,1819,511,571
34311,NEW,1,3477,92,572
34311,CANCEL,0,0,0,207
34311,NEW,1,7827,347,573
34311,NEW,1,8809,1238,574
34311,NEW,0,306,165,575
34311,NEW,0,1096,411,576
34311,NEW,0,2717,290,577
34311,NEW,0,3200,439,578
34311,NEW,0,3729,201,579
34311,NEW,0,3878,161,580
34311,NEW,0,5301,586,581
34311,NEW,0,7948,218,582
34311,NEW,0,39920,241,583
34312,NEW,1,125505,41,584
34313,NEW,1,2479,152,585
34313,CANCEL,0,0,0,140
34314,NEW,1,1095,181,586
34314,NEW,1,2716,552,587
34314,NEW,1,3200,990,588
34314,NEW,1,3477,256,589
34314,NEW,1,3729,136,590
34314,NEW,1,3878,688,591
34314,NEW,1,8804,354,592
34314,NEW,0,306,19,593
34314,NEW,0,1820,225,594
34314,NEW,0,5304,298,595
34314,NEW,0,7827,118,596
34314,NEW,0,7948,217,597
34314,NEW,0,39994,222,598
34315,NEW,1,125500,28,599
34316,NEW,0,2479,126,600
34317,NEW,1,2715,274,601
34317,NEW,1,3200,279,602
34317,CANCEL,0,0,0,71
34317,NEW,1,3475,355,603
34317,NEW,1,3728,125,604
34317,NEW,1,3877,614,605
34317,NEW,1,8792,3976,606
34317,CANCEL,0,0,0,581
34317,NEW,0,306,120,607
34317,CANCEL,0,0,0,22
34317,NEW,0,1095,213,608
34317,NEW,0,1820,281,609
34317,NEW,0,5305,1052,610
34317,NEW,0,7823,124,611
34317,NEW,0,7945,330,612
34317,CANCEL,0,0,0,569
34317,NEW,0,39999,178,613
34317,CANCEL,0,0,0,98
34318,NEW,1,125500,49,614
34319,NEW,1,2479,249,615
34319,CANCEL,0,0,0,84
34320,NEW,1,305,261,616
34320,NEW,1,3199,328,617
34320,NEW,1,3475,209,618
34320,NEW,0,1095,339,619
34320,CANCEL,0,0,0,332
34320,NEW,0,1820,856,620
34320,CANCEL,0,0,0,508
34320,NEW,0,2717,352,621
34320,NEW,0,3729,148,622
34320,NEW,0,3878,142,623
34320,NEW,0,5315,195,624
34320,NEW,0,7828,38,625
34320,NEW,0,7945,133,626
34320,NEW,0,8800,987,627
34320,NEW,0,40009,191,628
34321,NEW,1,125380,20,629
34322,NEW,0,2479,147,630
34323,NEW,1,2716,965,631
34323,NEW,1,3193,2015,632
34323,NEW,1,3729,88,633
34323,NEW,1,7823,171,634
34323,NEW,1,39999,122,635
34323,NEW,0,306,79,636
34323,NEW,0,1095,411,637
34323,NEW,0,1820,768,638
34323,NEW,0,3476,171,639
34323,CANCEL,0,0,0,6
34323,NEW,0,3879,1838,640
34323,NEW,0,5308,55,641
34323,NEW,0,7951,939,642
34323,NEW,0,8801,531,643
34323,CANCEL,0,0,0,377
34324,NEW,0,125439,39,644
34325,NEW,1,2478,148,645
34326,NEW,1,1094,255,646
34326,NEW,1,3474,102,647
34326,NEW,1,3729,108,648
34326,NEW,1,39989,242,649
34326,NEW,0,306,223,650
34326,NEW,0,1820,654,651
34326,NEW,0,2717,409,652
34326,NEW,0,3196,692,653
34326,NEW,0,3882,709,654
34326,NEW,0,5314,167,655
34326,NEW,0,7830,69,656
34326,NEW,0,7952,352,657
34326,NEW,0,8801,434,658
34326,CANCEL,0,0,0,235
34327,NEW,0,125399,22,659
34328,NEW,0,2478,310,660
34329,NEW,1,2717,537,661
34329,NEW,1,5314,174,662
34329,NEW,1,7828,94,663
34329,NEW,0,306,118,664
34329,NEW,0,1095,154,665
34329,NEW,0,1821,221,666
34329,NEW,0,3193,342,667
34329,NEW,0,3475,82,668
34329,NEW,0,3731,124,669
34329,NEW,0,3882,615,670
34329,NEW,0,7959,206,671
34329,NEW,0,8801,941,672
34329,NEW,0,40000,156,673
34330,NEW,0,125440,14,674
34330,CANCEL,0,0,0,313
34331,NEW,1,2477,440,675
34332,NEW,1,2717,874,676
34332,NEW,1,3474,135,677
34332,NEW,1,5308,116,678
34332,NEW,1,7828,100,679
34332,NEW,1,7959,280,680
34332,NEW,1,39971,181,681
34332,NEW,0,306,182,682
34332,CANCEL,0,0,0,249
34332,NEW,0,1095,582,683
34332,NEW,0,1822,647,684
34332,NEW,0,3194,1408,685
34332,NEW,0,3731,152,686
34332,NEW,0,3883,397,687
34332,NEW,0,8802,598,688
34333,NEW,0,125500,29,689
34334,NEW,0,2478,108,690
34334,CANCEL,0,0,0,443
34335,NEW,1,3474,419,691
34335,NEW,1,3731,65,692
34335,NEW,1,3883,698,693
34335,CANCEL,0,0,0,228
34335,NEW,1,5310,205,694
34335,NEW,1,7959,150,695
34335,NEW,1,39967,81,696
34335,NEW,0,306,525,697
34335,NEW,0,1096,109,698
34335,NEW,0,1823,976,699
34335,NEW,0,2718,224,700
34335,NEW,0,3195,954,701
34335,NEW,0,7829,54,702
34335,NEW,0,8803,262,703
34336,NEW,0,125631,10,704
34337,NEW,1,2478,265,705
34338,NEW,1,305,38,706
34338,NEW,1,1823,933,707
34338,NEW,1,3195,494,708
34338,NEW,1,3729,44,709
34338,NEW,1,3882,851,710
34338,NEW,0,1097,1451,711
34338,NEW,0,2718,886,712
34338,NEW,0,3474,212,713
34338,NEW,0,5309,81,714
34338,NEW,0,7839,59,715
34338,NEW,0,7962,209,716
34338,NEW,0,8803,775,717
34338,NEW,0,39966,133,718
34339,NEW,0,125632,7,719
34340,NEW,0,2479,74,720
34340,CANCEL,0,0,0,716
34341,NEW,1,2718,282,721
34341,NEW,1,3471,402,722
34341,NEW,1,3729,111,723
34341,NEW,1,5308,150,724
34341,CANCEL,0,0,0,506
34341,NEW,1,7829,64,725
34341,CANCEL,0,0,0,171
34341,NEW,0,306,113,726
34341,NEW,0,1097,1631,727
34341,CANCEL,0,0,0,222
34341,NEW,0,1823,358,728
34341,NEW,0,3199,768,729
34341,NEW,0,3883,307,730
34341,NEW,0,7969,117,731
34341,NEW,0,8803,153,732
34341,NEW,0,39958,154,733
34342,NEW,1,125632,20,734
34343,NEW,0,2482,83,735
34344,NEW,1,2718,1350,736
34344,NEW,1,3729,108,737
34344,NEW,1,3879,288,738
34344,NEW,1,7964,306,739
34344,NEW,1,8803,611,740
34344,NEW,0,306,80,741
34344,NEW,0,1098,79,742
34344,NEW,0,1825,1935,743
34344,NEW,0,3195,482,744
34344,NEW,0,3472,224,745
34344,NEW,0,5308,225,746
34344,NEW,0,7831,50,747
34344,NEW,0,39956,182,748
34345,NEW,0,125700,11,749
34346,NEW,0,2482,248,750
34347,NEW,1,305,24,751
34347,NEW,1,7964,123,752
34347,CANCEL,0,0,0,647
34347,NEW,1,39931,94,753
34347,NEW,0,1098,187,754
34347,NEW,0,1826,1837,755
34347,NEW,0,2719,593,756
34347,NEW,0,3199,568,757
34347,NEW,0,3475,547,758
34347,NEW,0,3731,56,759
34347,NEW,0,3882,625,760
34347,NEW,0,5313,272,761
34347,NEW,0,7833,59,762
34347,NEW,0,8804,728,763
34348,NEW,0,125700,17,764
34349,NEW,0,2485,239,765
34350,NEW,1,305,15,766
34350,NEW,1,1825,711,767
